merchant_id,merchant_name,category,region,integration_type,years_on_visa,avg_monthly_volume_k,monthly_txn_count,avg_txn_size,dispute_rate_pct,support_tickets_monthly,volume_trend_pct,churn_label
62,Prime Hub 62,Entertainment,Asia Pacific,Integrated,8.6,123.2,164,751.22,0.44,12,-11.6,0
63,Global Shop 63,eCommerce,North America,Semi-integrated,2.4,114.1,170,671.18,0.26,9,9.0,0
64,Direct Shop 64,Services,LAC,Integrated,7.2,174.2,403,432.26,0.15,2,17.3,0
65,Direct Market 65,eCommerce,Asia Pacific,Integrated,1.9,575.6,829,694.33,0.1,2,-9.3,0
66,Swift Commerce 66,Restaurant,Asia Pacific,Manual,9.6,2331.1,4538,513.68,0.05,17,-4.7,0
67,Prime Market 67,Services,LAC,Semi-integrated,3.7,1522.0,3464,439.38,0.21,0,-6.3,0
68,Swift Shop 68,eCommerce,MEA,Manual,8.5,846.3,836,1012.32,0.1,0,36.3,0
69,Global Transact 69,Retail,Europe,Integrated,11.0,1394.8,3989,349.66,0.8,0,46.3,0
70,Digital Shop 70,eCommerce,Asia Pacific,Semi-integrated,2.6,252.4,350,721.14,0.05,11,10.3,1
71,Global Hub 71,Entertainment,North America,Manual,5.0,472.6,731,646.51,1.0,16,2.6,1
72,Swift Hub 72,Restaurant,LAC,Integrated,7.9,646.7,1452,445.39,0.15,3,-4.0,0
73,Peak Market 73,eCommerce,Asia Pacific,Integrated,5.3,72.4,146,495.89,1.16,14,8.0,0
74,Express Hub 74,Retail,Europe,Manual,2.5,130.9,209,626.32,0.73,12,-3.0,0
75,Express Trade 75,Entertainment,LAC,Integrated,0.8,138.4,294,470.75,0.12,4,6.1,0
76,Digital Hub 76,eCommerce,Asia Pacific,Semi-integrated,5.2,1938.7,5345,362.71,0.62,1,16.3,0
77,Global Payments 77,Restaurant,Asia Pacific,Manual,8.0,937.8,2345,399.91,2.4,8,-0.1,0
78,Swift Pay 78,Restaurant,Asia Pacific,Integrated,7.1,1564.8,4006,390.61,0.32,1,4.2,0
79,Digital Pay 79,Travel,Europe,Integrated,2.3,50.6,57,887.72,0.24,2,4.3,0
80,Peak Hub 80,Entertainment,North America,Integrated,5.7,83.3,128,650.78,0.74,8,1.6,0
81,Global Transact 81,Services,MEA,Integrated,4.7,1683.3,3172,530.67,0.86,14,-0.8,0
82,Express Hub 82,eCommerce,North America,Integrated,3.7,13.6,50,272.0,0.46,17,23.2,1
83,Direct Payments 83,Retail,Europe,Semi-integrated,8.9,3694.1,8956,412.47,0.05,11,-27.4,0
84,Global Pay 84,Entertainment,LAC,Integrated,4.1,51.8,67,773.13,0.05,4,39.5,0
85,Peak Shop 85,Travel,North America,Semi-integrated,6.7,2166.1,2613,828.97,1.64,5,10.7,0
86,Swift Hub 86,Entertainment,LAC,Integrated,11.1,191.7,220,871.36,0.49,11,20.2,0
87,Peak Commerce 87,Retail,LAC,Integrated,6.7,2888.4,3490,827.62,0.22,3,22.5,0
88,Prime Payments 88,Restaurant,LAC,Integrated,7.6,8000.0,10760,743.49,0.51,9,-6.2,0
89,Peak Hub 89,Entertainment,Europe,Semi-integrated,1.3,27.6,55,501.82,0.47,13,-10.3,1
90,Digital Commerce 90,Entertainment,North America,Integrated,2.5,1760.8,3449,510.52,0.05,15,-12.6,1
91,Digital Market 91,eCommerce,MEA,Integrated,1.7,52.9,60,881.67,0.06,1,3.1,0
92,Swift Transact 92,Entertainment,Europe,Manual,9.3,1208.9,1228,984.45,0.27,5,22.0,0
93,Prime Trade 93,Services,MEA,Semi-integrated,10.1,498.0,1277,389.98,2.49,4,-3.7,1
94,Peak Transact 94,eCommerce,North America,Integrated,2.6,797.7,583,1368.27,0.25,9,20.2,0
95,Swift Commerce 95,Services,North America,Manual,3.0,185.6,330,562.42,0.59,3,-39.4,1
96,Direct Pay 96,Restaurant,LAC,Integrated,4.2,1983.8,3573,555.22,0.05,17,0.3,0
97,Direct Shop 97,Restaurant,MEA,Integrated,7.3,87.6,169,518.34,0.26,16,31.3,0
98,Express Market 98,Entertainment,MEA,Integrated,7.7,3783.1,10267,368.47,0.26,5,4.6,0
99,Smart Pay 99,Travel,LAC,Integrated,8.4,375.0,772,485.75,0.72,7,-8.6,0
100,Direct Trade 100,Retail,Europe,Integrated,10.9,93.3,273,341.76,0.2,7,-5.1,0
101,Smart Commerce 101,Entertainment,MEA,Semi-integrated,3.9,6203.8,16616,373.36,1.5,0,-45.0,1
102,Direct Trade 102,Restaurant,LAC,Integrated,8.1,605.3,627,965.39,0.08,15,-12.2,0
103,Prime Hub 103,Entertainment,North America,Semi-integrated,6.9,8000.0,8823,906.72,1.23,14,29.1,1
104,Direct Payments 104,Retail,North America,Manual,4.0,3677.2,5008,734.27,0.08,5,-3.7,1
105,Express Payments 105,Entertainment,MEA,Semi-integrated,10.9,217.6,321,677.88,1.18,9,-1.3,1
106,Swift Pay 106,Entertainment,Europe,Semi-integrated,1.6,590.5,1111,531.5,0.38,6,-38.6,0
107,Direct Transact 107,Entertainment,LAC,Semi-integrated,8.7,788.0,852,924.88,2.81,4,-24.6,1
108,Direct Shop 108,Travel,North America,Manual,8.9,5635.4,5950,947.13,0.05,5,31.8,0
109,Peak Pay 109,eCommerce,Europe,Integrated,11.0,1227.2,1783,688.28,0.58,1,20.3,0
110,Prime Transact 110,Entertainment,Europe,Integrated,6.5,851.3,1855,458.92,2.13,14,-17.9,1
111,Global Commerce 111,Restaurant,Europe,Semi-integrated,4.2,502.8,1116,450.54,0.49,11,-4.6,1
112,Swift Market 112,Entertainment,LAC,Semi-integrated,10.0,619.7,1822,340.12,1.68,16,7.4,0
113,Global Payments 113,Travel,MEA,Integrated,9.4,4131.6,4156,994.13,0.09,0,-15.9,0
114,Express Shop 114,eCommerce,MEA,Semi-integrated,6.3,668.6,990,675.35,0.23,11,-32.1,0
115,Express Pay 115,Travel,LAC,Integrated,9.3,382.6,1114,343.45,0.21,10,4.8,0
116,Swift Commerce 116,Travel,Europe,Manual,3.6,301.8,671,449.78,0.45,11,19.5,0
117,Express Market 117,Retail,MEA,Integrated,7.3,306.4,606,505.61,0.3,17,19.8,0
118,Digital Transact 118,Retail,Asia Pacific,Integrated,10.4,93.4,172,543.02,0.05,7,25.5,0
119,Express Transact 119,Restaurant,Asia Pacific,Integrated,4.2,232.6,160,1453.75,0.61,2,-23.1,0
120,Prime Pay 120,Retail,LAC,Integrated,6.1,5419.7,14814,365.85,0.26,0,9.2,0
121,Peak Transact 121,eCommerce,LAC,Integrated,11.4,498.1,1027,485.0,1.77,8,2.6,0
122,Digital Hub 122,Entertainment,MEA,Integrated,9.7,1783.2,3440,518.37,0.19,3,6.3,0
123,Peak Transact 123,Travel,Asia Pacific,Integrated,10.7,20.7,50,414.0,0.84,2,3.8,0
124,Swift Transact 124,eCommerce,LAC,Integrated,4.9,1473.9,2181,675.79,0.46,2,-5.2,0
125,Prime Transact 125,Services,LAC,Integrated,12.0,530.7,603,880.1,1.32,4,-45.0,0
126,Peak Hub 126,Travel,Europe,Integrated,2.3,339.0,809,419.04,0.15,2,31.2,0
127,Smart Hub 127,Retail,Europe,Integrated,6.5,856.9,1520,563.75,0.07,8,14.6,0
128,Prime Commerce 128,Entertainment,LAC,Integrated,6.0,332.2,194,1712.37,0.1,11,-21.7,0
129,Express Pay 129,Travel,North America,Integrated,9.7,34.0,50,680.0,0.06,5,17.5,0
130,Peak Commerce 130,Travel,Europe,Integrated,10.9,2419.1,6825,354.45,0.63,2,-0.9,0
131,Smart Trade 131,Travel,LAC,Integrated,8.9,934.7,1341,697.02,0.22,10,-0.4,0
132,Global Commerce 132,Travel,MEA,Semi-integrated,7.7,428.6,657,652.36,1.01,1,-7.4,0
133,Smart Hub 133,Retail,Asia Pacific,Manual,5.4,172.0,354,485.88,0.45,13,18.7,0
134,Global Commerce 134,Travel,Europe,Manual,6.4,85.0,212,400.94,1.62,6,-8.0,1
135,Peak Transact 135,Entertainment,Asia Pacific,Semi-integrated,6.4,910.0,1975,460.76,0.25,7,-13.9,0
136,Digital Market 136,Restaurant,LAC,Semi-integrated,0.7,6366.6,16713,380.94,0.15,4,30.6,0
137,Direct Shop 137,Travel,Asia Pacific,Integrated,6.3,884.0,693,1275.61,0.73,5,4.4,0
138,Prime Shop 138,Retail,North America,Semi-integrated,10.3,96.0,269,356.88,0.05,2,5.1,0
139,Peak Payments 139,eCommerce,Asia Pacific,Semi-integrated,8.7,911.6,2515,362.47,2.06,10,21.8,0
140,Swift Shop 140,eCommerce,Asia Pacific,Semi-integrated,9.7,617.3,1109,556.63,0.05,2,-5.4,0
141,Swift Shop 141,Services,LAC,Manual,5.0,2229.8,4597,485.06,0.51,12,-1.4,1
142,Smart Payments 142,Restaurant,MEA,Integrated,6.6,1555.3,1605,969.03,0.62,4,14.1,0
143,Swift Hub 143,Restaurant,MEA,Semi-integrated,0.9,10.2,50,204.0,1.03,10,-22.8,1
144,Global Trade 144,eCommerce,LAC,Semi-integrated,4.9,1427.0,1436,993.73,0.21,9,12.4,0
145,Digital Payments 145,Services,Europe,Integrated,6.0,163.2,90,1813.33,0.37,11,-7.1,0
146,Global Shop 146,Services,Asia Pacific,Manual,3.4,90.9,268,339.18,0.17,13,25.1,0
147,Peak Hub 147,Retail,North America,Integrated,0.9,510.9,586,871.84,0.07,10,18.9,0
148,Prime Shop 148,Restaurant,MEA,Manual,8.4,1182.5,2344,504.48,0.84,15,16.3,0
149,Swift Hub 149,Entertainment,MEA,Semi-integrated,5.5,66.9,83,806.02,0.67,4,-24.1,0
150,Direct Trade 150,Retail,MEA,Integrated,5.3,1783.6,2544,701.1,1.52,13,5.9,0
151,Swift Pay 151,Services,Europe,Semi-integrated,3.4,1936.6,2894,669.18,0.2,6,-15.5,0
152,Global Commerce 152,Restaurant,Europe,Integrated,6.7,710.4,950,747.79,0.14,11,7.3,0
153,Prime Payments 153,Services,MEA,Semi-integrated,5.5,197.4,413,477.97,0.14,8,-38.3,1
154,Express Payments 154,Restaurant,Asia Pacific,Semi-integrated,6.0,168.8,489,345.19,0.05,16,-22.8,0
155,Global Transact 155,eCommerce,LAC,Semi-integrated,7.2,2797.0,4395,636.41,0.63,4,31.8,0
156,Digital Hub 156,Travel,Asia Pacific,Manual,0.6,80.2,235,341.28,0.05,9,15.4,0
157,Direct Transact 157,Retail,Asia Pacific,Integrated,10.9,2952.1,6404,460.98,0.29,2,0.9,0
158,Express Market 158,Travel,LAC,Integrated,1.3,527.8,1065,495.59,0.37,11,-10.2,1
159,Digital Transact 159,Travel,MEA,Integrated,5.7,581.6,635,915.91,0.42,0,-13.7,0
160,Swift Commerce 160,Entertainment,Europe,Integrated,2.9,60.9,50,1218.0,2.01,7,12.0,1
161,Prime Transact 161,Services,MEA,Integrated,6.5,541.6,1424,380.34,0.05,0,1.1,0
162,Smart Hub 162,Travel,Europe,Integrated,3.7,1570.3,3038,516.89,0.12,5,38.9,0
163,Digital Commerce 163,eCommerce,Asia Pacific,Integrated,10.4,102.4,157,652.23,0.79,8,4.3,0
164,Express Trade 164,eCommerce,MEA,Integrated,5.1,1336.9,3382,395.3,0.94,5,9.2,0
165,Swift Trade 165,eCommerce,MEA,Manual,7.8,753.4,961,783.98,1.16,6,-19.8,0
166,Express Commerce 166,Entertainment,MEA,Integrated,3.4,270.1,664,406.78,0.81,2,0.8,0
167,Prime Trade 167,Restaurant,Europe,Manual,0.7,2200.7,2904,757.82,0.21,12,11.5,1
168,Direct Trade 168,Restaurant,MEA,Integrated,5.1,30.5,85,358.82,0.74,14,0.5,0
169,Global Shop 169,eCommerce,MEA,Integrated,6.7,1080.7,1264,854.98,1.12,8,-1.7,0
170,Peak Pay 170,Retail,MEA,Semi-integrated,5.8,6420.2,5417,1185.19,0.94,0,14.5,0
171,Global Market 171,Retail,North America,Integrated,11.6,4993.6,11211,445.42,0.08,1,38.3,0
172,Global Transact 172,Retail,LAC,Integrated,8.6,1147.9,1041,1102.69,0.16,12,10.9,0
173,Prime Pay 173,Entertainment,MEA,Semi-integrated,12.0,436.0,1252,348.24,0.1,16,30.9,0
174,Smart Market 174,Entertainment,LAC,Integrated,3.9,273.1,584,467.64,1.14,15,20.4,0
175,Digital Hub 175,Entertainment,Europe,Integrated,9.6,435.2,468,929.91,0.45,7,29.7,0
176,Peak Payments 176,eCommerce,LAC,Semi-integrated,6.9,1424.1,1455,978.76,0.23,8,-4.2,0
177,Peak Payments 177,Entertainment,North America,Integrated,7.5,214.8,603,356.22,0.11,2,3.9,0
178,Global Hub 178,Retail,Asia Pacific,Semi-integrated,11.8,1920.6,3878,495.26,0.05,1,3.9,0
179,Smart Commerce 179,Services,LAC,Integrated,8.0,8000.0,21874,365.73,0.75,13,18.9,0
180,Smart Pay 180,Travel,Asia Pacific,Manual,10.8,609.9,473,1289.43,0.05,7,23.8,0
181,Smart Payments 181,Services,LAC,Semi-integrated,8.8,101.3,285,355.44,0.52,8,10.5,0
182,Global Shop 182,Retail,Europe,Manual,2.0,101.2,182,556.04,0.18,6,25.5,0
183,Global Commerce 183,eCommerce,LAC,Semi-integrated,8.5,1972.8,4283,460.61,0.09,5,-3.3,0
184,Prime Trade 184,Entertainment,LAC,Integrated,6.1,611.8,876,698.4,0.05,17,25.7,0
185,Express Commerce 185,eCommerce,LAC,Semi-integrated,11.1,2270.1,1470,1544.29,0.27,14,28.3,0
186,Digital Transact 186,eCommerce,Europe,Integrated,9.8,315.1,912,345.5,0.32,12,21.5,0
187,Prime Transact 187,Retail,Europe,Semi-integrated,1.7,2127.9,6354,334.89,1.45,7,10.7,1
188,Prime Payments 188,eCommerce,Europe,Semi-integrated,2.0,532.9,752,708.64,0.27,12,22.3,0
189,Peak Market 189,Restaurant,Asia Pacific,Integrated,1.3,238.5,682,349.71,0.1,6,-9.9,0
190,Digital Commerce 190,Restaurant,Asia Pacific,Manual,6.2,379.4,348,1090.23,0.57,9,12.0,0
191,Express Hub 191,Entertainment,Europe,Integrated,1.4,124.5,110,1131.82,0.05,2,14.0,0
192,Global Hub 192,Travel,Asia Pacific,Semi-integrated,8.8,8000.0,5462,1464.66,1.75,12,-18.6,1
193,Global Shop 193,Travel,Europe,Semi-integrated,6.9,581.2,859,676.6,1.24,1,17.5,0
194,Prime Commerce 194,eCommerce,Europe,Integrated,10.1,1639.8,1034,1585.88,0.79,13,-17.0,1
195,Direct Transact 195,Services,LAC,Semi-integrated,3.7,313.7,466,673.18,1.49,10,-0.6,1
196,Digital Market 196,Retail,MEA,Semi-integrated,6.5,152.5,129,1182.17,0.36,1,8.8,0
197,Express Pay 197,eCommerce,Europe,Integrated,1.9,479.4,1115,429.96,1.06,9,-6.6,1
198,Digital Pay 198,Retail,MEA,Semi-integrated,10.7,3107.8,8028,387.12,0.39,4,9.7,0
199,Swift Pay 199,eCommerce,Asia Pacific,Integrated,2.5,320.9,712,450.7,3.13,8,9.3,1
200,Digital Market 200,Services,North America,Semi-integrated,1.7,196.6,196,1003.06,0.46,0,-8.4,0
201,Peak Market 201,eCommerce,Europe,Integrated,2.9,826.9,1998,413.86,0.51,12,19.4,0
202,Peak Trade 202,Services,North America,Manual,9.8,1337.6,1503,889.95,0.44,9,-7.3,0
203,Express Shop 203,eCommerce,North America,Manual,1.7,6634.2,15913,416.9,0.58,6,53.8,0
204,Direct Shop 204,Entertainment,Europe,Integrated,7.6,1091.4,2093,521.45,2.17,15,5.8,1
205,Express Pay 205,eCommerce,Asia Pacific,Integrated,9.1,1638.6,2321,705.99,0.08,11,-15.4,0
206,Direct Hub 206,Restaurant,LAC,Semi-integrated,9.1,1820.7,1290,1411.4,0.12,10,-11.7,0
207,Peak Commerce 207,Entertainment,North America,Semi-integrated,2.7,132.4,340,389.41,0.44,2,31.0,0
208,Digital Pay 208,Services,MEA,Integrated,1.2,172.7,492,351.02,0.46,9,-0.2,0
209,Digital Transact 209,Restaurant,Europe,Integrated,5.7,145.8,315,462.86,0.27,12,-19.3,0
210,Peak Payments 210,Entertainment,North America,Integrated,2.8,103.0,299,344.48,0.08,16,25.1,0
211,Swift Trade 211,Restaurant,LAC,Manual,8.5,2025.6,5743,352.71,0.91,10,-0.3,0
212,Digital Shop 212,Entertainment,LAC,Integrated,4.6,998.3,984,1014.53,0.17,3,21.1,0
213,Direct Market 213,Entertainment,LAC,Manual,5.7,743.4,1730,429.71,0.96,12,26.7,0
214,Direct Market 214,eCommerce,North America,Integrated,1.8,17.6,50,352.0,2.65,1,13.5,1
215,Direct Transact 215,Entertainment,North America,Manual,7.0,8000.0,13750,581.82,1.5,5,55.9,0
216,Direct Market 216,Restaurant,Europe,Integrated,2.6,190.2,169,1125.44,0.14,16,-26.5,1
217,Digital Market 217,Retail,Asia Pacific,Integrated,8.3,8000.0,23495,340.5,0.17,14,-8.4,1
218,Global Commerce 218,Retail,MEA,Manual,1.3,87.4,202,432.67,0.24,16,2.9,1
219,Swift Hub 219,eCommerce,Europe,Manual,11.7,213.3,248,860.08,0.81,6,53.2,0
220,Digital Commerce 220,Services,North America,Integrated,8.4,30.4,50,608.0,0.93,12,44.0,0
221,Smart Market 221,Retail,MEA,Integrated,2.6,1104.3,1718,642.78,0.05,12,33.8,0
222,Direct Hub 222,eCommerce,North America,Integrated,0.7,142.3,337,422.26,0.32,4,-7.9,0
223,Swift Payments 223,Entertainment,North America,Integrated,4.3,148.1,416,356.01,1.29,16,-5.6,1
224,Smart Transact 224,Restaurant,Asia Pacific,Integrated,2.3,97.4,126,773.02,0.52,17,-8.6,1
225,Peak Payments 225,Entertainment,Asia Pacific,Manual,3.0,1974.9,3320,594.85,0.53,1,-7.7,1
226,Smart Commerce 226,Restaurant,LAC,Integrated,10.5,1800.9,3571,504.31,0.17,13,37.9,0
227,Peak Trade 227,Entertainment,MEA,Semi-integrated,7.4,8000.0,11866,674.2,0.32,8,3.1,0
228,Direct Market 228,Travel,MEA,Integrated,2.5,254.7,448,568.53,0.72,12,5.8,0
229,Peak Hub 229,Travel,Europe,Integrated,6.9,903.6,690,1309.57,0.78,9,23.5,0
230,Express Pay 230,Restaurant,MEA,Semi-integrated,3.4,109.4,100,1094.0,1.21,4,-25.3,1
231,Swift Payments 231,eCommerce,LAC,Integrated,11.7,416.1,625,665.76,0.06,1,9.1,0
232,Peak Transact 232,Services,North America,Semi-integrated,0.9,321.7,896,359.04,0.62,9,-13.9,1
233,Smart Pay 233,Retail,MEA,Integrated,8.9,1274.4,1750,728.23,0.5,15,2.1,0
234,Smart Market 234,Entertainment,North America,Manual,9.4,2762.3,3106,889.34,0.09,14,-3.7,0
235,Prime Trade 235,eCommerce,Asia Pacific,Semi-integrated,1.3,2663.8,6278,424.31,0.42,4,-4.8,0
236,Direct Pay 236,Entertainment,LAC,Manual,2.5,204.4,587,348.21,0.42,15,12.5,1
237,Peak Hub 237,Travel,Europe,Integrated,4.9,2691.5,4435,606.88,0.08,6,12.4,0
238,Express Market 238,eCommerce,Europe,Integrated,10.5,625.3,326,1918.1,0.24,10,3.6,0
239,Prime Payments 239,Restaurant,Asia Pacific,Integrated,6.7,422.2,937,450.59,1.54,5,15.4,0
240,Smart Transact 240,Travel,MEA,Semi-integrated,8.0,246.7,379,650.92,1.28,9,-9.4,0
241,Swift Shop 241,Retail,Europe,Integrated,9.5,303.7,663,458.07,0.89,9,21.6,0
242,Digital Payments 242,Travel,LAC,Integrated,10.0,7625.4,9106,837.4,0.24,12,3.9,0
243,Swift Payments 243,Retail,Asia Pacific,Integrated,6.0,1022.9,517,1978.53,0.38,8,-1.7,0
244,Global Transact 244,Travel,North America,Integrated,6.4,849.3,1156,734.69,1.95,9,-7.9,1
245,Peak Transact 245,Travel,LAC,Integrated,8.8,460.7,1042,442.13,1.46,11,3.2,1
246,Smart Transact 246,Retail,MEA,Integrated,3.5,8000.0,11862,674.42,1.05,7,45.4,0
247,Smart Shop 247,Entertainment,Asia Pacific,Integrated,10.3,4134.1,4332,954.32,0.26,9,6.7,0
248,Peak Commerce 248,eCommerce,North America,Semi-integrated,0.7,242.4,402,602.99,0.11,1,-14.9,0
249,Swift Pay 249,Entertainment,North America,Integrated,2.8,453.5,1079,420.3,0.1,15,26.4,1
250,Prime Transact 250,Retail,Asia Pacific,Integrated,9.7,492.8,393,1253.94,0.05,2,-1.4,0
251,Digital Hub 251,Restaurant,Asia Pacific,Semi-integrated,4.4,815.8,1818,448.73,0.45,15,13.7,0
252,Direct Commerce 252,eCommerce,Asia Pacific,Semi-integrated,2.2,249.2,540,461.48,0.53,13,-4.1,1
253,Direct Transact 253,Restaurant,Europe,Integrated,2.6,1229.5,1754,700.97,1.66,17,33.6,1
254,Direct Market 254,Restaurant,Asia Pacific,Semi-integrated,6.6,5079.3,14861,341.79,0.56,0,-3.8,0
255,Peak Transact 255,Travel,Europe,Manual,10.2,105.7,289,365.74,0.14,3,36.0,0
256,Digital Payments 256,Retail,LAC,Semi-integrated,1.3,137.1,176,778.98,0.91,0,-13.0,0
257,Express Payments 257,Entertainment,LAC,Manual,0.9,338.2,195,1734.36,0.16,7,2.1,1
